image_id,num_objects,sharp_exists,blur_exists,rl_exists
297681,1,True,True,True
306733,7,True,True,True
125806,2,True,True,True
82807,4,True,True,True
10977,2,True,True,True
67180,2,True,True,True
286708,1,True,True,True
280325,1,True,True,True
183716,5,True,True,True
286507,1,True,True,True
23666,1,True,True,True
108244,1,True,True,True
92660,16,True,True,True
350003,6,True,True,True
410487,1,True,True,True
127517,11,True,True,True
386879,2,True,True,True
199442,2,True,True,True
128598,11,True,True,True
109827,1,True,True,True
353027,3,True,True,True
131938,2,True,True,True
74860,2,True,True,True
554838,3,True,True,True
57149,6,True,True,True
469828,2,True,True,True
35963,2,True,True,True
545730,9,True,True,True
54967,16,True,True,True
226130,3,True,True,True
44260,6,True,True,True
563702,5,True,True,True
566042,6,True,True,True
200961,8,True,True,True
290771,17,True,True,True
415716,7,True,True,True
499622,2,True,True,True
578093,5,True,True,True
240940,16,True,True,True
416745,2,True,True,True
475779,1,True,True,True
2473,5,True,True,True
6771,9,True,True,True
453708,14,True,True,True
438876,3,True,True,True
537964,1,True,True,True
365642,7,True,True,True
307658,1,True,True,True
535253,8,True,True,True
537270,8,True,True,True
284725,13,True,True,True
329319,4,True,True,True
134689,1,True,True,True
356432,5,True,True,True
130579,2,True,True,True
17115,2,True,True,True
190648,2,True,True,True
296317,3,True,True,True
275392,2,True,True,True
509014,21,True,True,True
491867,6,True,True,True
449312,5,True,True,True
2149,2,True,True,True
304180,5,True,True,True
384949,14,True,True,True
255912,5,True,True,True
426836,2,True,True,True
550322,6,True,True,True
219578,4,True,True,True
8211,6,True,True,True
23359,2,True,True,True
32038,4,True,True,True
119445,6,True,True,True
245513,4,True,True,True
83172,6,True,True,True
323895,3,True,True,True
292060,17,True,True,True
435299,2,True,True,True
383443,4,True,True,True
368038,1,True,True,True
482735,2,True,True,True
185472,9,True,True,True
350054,5,True,True,True
164969,1,True,True,True
89078,2,True,True,True
77460,26,True,True,True
559513,5,True,True,True
447522,11,True,True,True
479448,17,True,True,True
52565,1,True,True,True
15956,4,True,True,True
153217,2,True,True,True
56344,7,True,True,True
551815,3,True,True,True
341681,3,True,True,True
400573,5,True,True,True
41872,5,True,True,True
7818,11,True,True,True
179392,6,True,True,True
190637,4,True,True,True
244833,20,True,True,True
52413,5,True,True,True
25424,3,True,True,True
110042,8,True,True,True
157046,3,True,True,True
524280,1,True,True,True
157138,2,True,True,True
163951,2,True,True,True
129054,13,True,True,True
485972,6,True,True,True
86956,6,True,True,True
269121,2,True,True,True
416837,1,True,True,True
244019,1,True,True,True
240023,9,True,True,True
25057,4,True,True,True
272148,21,True,True,True
161032,2,True,True,True
125936,29,True,True,True
561335,2,True,True,True
20247,2,True,True,True
263425,2,True,True,True
553094,1,True,True,True
256407,13,True,True,True
555050,18,True,True,True
326248,19,True,True,True
364557,4,True,True,True
491757,2,True,True,True
359781,1,True,True,True
226984,24,True,True,True
161642,1,True,True,True
459809,8,True,True,True
469174,1,True,True,True
515077,12,True,True,True
411817,16,True,True,True
114871,2,True,True,True
18150,7,True,True,True
428867,7,True,True,True
444879,1,True,True,True
567886,5,True,True,True
453001,10,True,True,True
520659,29,True,True,True
374083,8,True,True,True
344816,1,True,True,True
414676,2,True,True,True
334530,2,True,True,True
297022,4,True,True,True
165518,2,True,True,True
453722,4,True,True,True
544444,2,True,True,True
570471,10,True,True,True
213605,4,True,True,True
885,9,True,True,True
335328,3,True,True,True
329323,13,True,True,True
425221,23,True,True,True
15079,3,True,True,True
241668,5,True,True,True
363840,12,True,True,True
98716,5,True,True,True
133000,3,True,True,True
15497,3,True,True,True
416104,36,True,True,True
125472,2,True,True,True
183049,14,True,True,True
348481,6,True,True,True
232489,1,True,True,True
396200,14,True,True,True
207585,6,True,True,True
311392,4,True,True,True
351609,4,True,True,True
53505,9,True,True,True
378605,4,True,True,True
471087,2,True,True,True
404922,5,True,True,True
30494,2,True,True,True
199236,14,True,True,True
536947,6,True,True,True
334521,4,True,True,True
223789,3,True,True,True
9914,7,True,True,True
324614,2,True,True,True
413689,17,True,True,True
427055,9,True,True,True
424721,7,True,True,True
60507,19,True,True,True
216739,4,True,True,True
80022,3,True,True,True
441247,24,True,True,True
457884,10,True,True,True
543043,4,True,True,True
231508,25,True,True,True
129492,9,True,True,True
97585,13,True,True,True
324715,2,True,True,True
445792,7,True,True,True
507667,15,True,True,True
